acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família, CONAB",Palmeiras do Tocantins,1
Crédito Rural,Lagoa da Confusão,1
"Merenda Escolar (PENAE), Bolsa Família",Araguaína,1
Bolsa Família,Divinópolis do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Lajeado,1
"Compra Direta (PAA), Aposentadoria Rural",Chapada de Areia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",dois Irmãos do Tocantins,1
Bolsa Família,Novo Acordo,1
Aposentadoria Rural,Santa Fé do Araguaia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Palmeiras do Tocantins,1
Bolsa Família,Cristalândia,1
"Crédito Rural, Aposentadoria Rural",Muricilândia,1
Crédito Rural,Pedro Afonso,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Axixá do Tocantins,1
Crédito Rural,Miracema do Tocantins,1
"Crédito Rural, Bolsa Família, Aposentadoria Rural",Itaguatins,1
Não,Ananás,1
"Compra Direta (PAA), Merenda Escolar (PENAE), AUXILIO DOENÇA",Almas,1
Bolsa Família,Esperantina,1
Bolsa Família,Talismã,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Araguatins,1
Não,Novo Jardim,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Crixás do Tocantins,1
"Compra Direta (PAA), Fomento, Aposentadoria Rural",Babaçulândia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Bom Jesus do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",dois Irmãos do Tocantins,1
"Crédito Rural, AUXILIO DOENÇA",Filadélfia,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Caseara,1
Compra Direta (PAA),Figueirópolis,1
CAF,Caseara,1
Bolsa Família,Silvanópolis,1
Compra Direta (PAA),Axixá do Tocantins,1
Compra Direta (PAA),Porto Nacional,1
Crédito Rural,Sucupira,1
Compra Direta (PAA),Babaçulândia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Lajeado,1
Não,Aragominas,1
Crédito Rural,Almas,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Santa Terezinha do Tocantins,1
Compra Direta (PAA),Talismã,1
Não,Araguanã,1
Crédito Rural,Aragominas,1
Crédito Rural,Nova Rosalândia,1
CONAB,Santa Terezinha do Tocantins,1
Bolsa Família,Araguanã,1
Crédito Rural,Ponte Alta do Bom Jesus,1
Compra Direta (PAA),Caseara,1
Não,Sítio Novo do Tocantins,1
Fomento,Ipueiras,1
"Bolsa Família, DEFESO",Filadélfia,1
"Merenda Escolar (PENAE), Aposentadoria Rural",Guaraí,1
Não,Sítio Novo do Tocantins,1
Não,São Bento do Tocantins,1
"Crédito Rural, Merenda Escolar (PENAE)",São Miguel do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Dianópolis,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",dois Irmãos do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Monte Santo do Tocantins,1
Compra Direta (PAA),Colméia,1
Bolsa Família,Wanderlândia,1
"Crédito Rural, Bolsa Família",Paraíso do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Araguaçu,1
"Crédito Rural, Compra Direta (PAA)",Ponte Alta do Bom Jesus,1
"Crédito Rural, Fomento",Palmeiras do Tocantins,1
Não,Lagoa da Confusão,1
Crédito Rural,Axixá do Tocantins,1
APOSENTADORIA RURAL,Chapada da Natividade,1
"Crédito Rural, Compra Direta (PAA)",Axixá do Tocantins,1
Aposentadoria Rural,Chapada da Natividade,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Caseara,1
"Crédito Rural, Aposentadoria Rural",Sítio Novo do Tocantins,1
"Merenda Escolar (PENAE), Bolsa Família",Miranorte,1
Não,Ipueiras,1
Compra Direta (PAA),Guaraí,1
"CAF , CAR.",Paranã,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Araguanã,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",Palmeiras do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Ponte Alta do Bom Jesus,1
Não,Almas,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",dois Irmãos do Tocantins,1
Bolsa Família,Aragominas,1
Bolsa Família,Dueré,1
