atividade_produtiva,municipio_ibge,count
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Aragominas,1
"Avicultura, Suinocultura, Mandiocultura",Monte do Carmo,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura",Aliança do Tocantins,1
Avicultura,Chapada de Areia,1
Olericultura,Paraíso do Tocantins,1
Mandiocultura,Monte Santo do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",Marianópolis do Tocantins,1
Bovinocultura de corte,Divinópolis do Tocantins,1
"Avicultura, Mandiocultura, Olericultura",Carmolândia,1
"Avicultura, Suinocultura, Olericultura",Porto Nacional,1
Bovinocultura de corte,Sucupira,1
Mandiocultura,Pedro Afonso,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Paraíso do Tocantins,1
"Avicultura, Mandiocultura, Olericultura",Piraquê,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Aragominas,1
"Avicultura, Mandiocultura, Olericultura",Wanderlândia,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Figueirópolis,1
"Avicultura, Mandiocultura, Olericultura",Esperantina,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Paraíso do Tocantins,1
"Avicultura, Mandiocultura, Olericultura",Palmeiras do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Culturas Anuais",Palmeiras do Tocantins,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",darcinópolis,1
"Bovinocultura de corte, Avicultura",Palmeiras do Tocantins,1
"Avicultura, Suinocultura, Mandiocultura",Miranorte,1
