,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens
297,1707108.0,Divinópolis do Tocantins,Paraiso,Não possui degradação
298,1703305.0,Bom Jesus do Tocantins,Miracema,Pouco degradado
299,1705102.0,Chapada da Natividade,Porto,Pouco degradado
300,1715259.0,Novo Jardim,Taguatinga,Pouco degradado
301,1716208.0,Paranã,Taguatinga,Não possui degradação
302,1713304.0,Miranorte,Miracema,Não possui degradação
303,1716208.0,Paranã,Taguatinga,Degradação Média
304,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado
305,1709005.0,Goiatins,Araguaina,Pouco degradado
306,1716505.0,Pedro Afonso,Miracema,Não possui degradação
307,1720002.0,Santa Terezinha do Tocantins,Araguatins,Degradação Média
308,1700707.0,Alvorada,Gurupi,Não possui degradação
309,1709302.0,Guaraí,Colinas,Não possui degradação
310,1716604.0,Peixe,Gurupi,Pouco degradado
311,1703057.0,Bandeirantes do Tocantins,Araguatins,Pouco degradado
312,1703107.0,Barrolândia,Paraiso,Pouco degradado
313,1716208.0,Paranã,Taguatinga,Não possui degradação
314,1700707.0,Alvorada,Gurupi,Não possui degradação
315,1718899.0,Santa Rita do Tocantins,Gurupi,Pouco degradado
316,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado
317,1709302.0,Guaraí,Colinas,Não possui degradação
318,1713809.0,Palmeiras do Tocantins,Araguatins,Não possui degradação
319,1709302.0,Guaraí,Colinas,Não possui degradação
320,1713809.0,Palmeiras do Tocantins,Araguatins,Não possui degradação
321,1716109.0,Paraíso do Tocantins,Paraiso,Pouco degradado
322,1715259.0,Novo Jardim,Taguatinga,Não possui degradação
323,1716208.0,Paranã,Taguatinga,Não possui degradação
324,1718758.0,Rio Sono,Miracema,Não possui degradação
325,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado
326,1703867.0,Cariri do Tocantins,Gurupi,Pouco degradado
327,1701101.0,Aparecida do Rio Negro,Miracema,Não possui degradação
328,1700350.0,Aliança do Tocantins,Gurupi,Pouco degradado
329,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado
330,1709302.0,Guaraí,Colinas,Não possui degradação
331,1707207.0,dois Irmãos do Tocantins,Paraiso,Pouco degradado
332,1716505.0,Pedro Afonso,Miracema,Não possui degradação
333,1709302.0,Guaraí,Colinas,Não possui degradação
334,1703107.0,Barrolândia,Paraiso,Pouco degradado
335,1721109.0,Tocantínia,Miracema,Pouco degradado
336,1716505.0,Pedro Afonso,Miracema,Pouco degradado
337,1713205.0,Miracema do Tocantins,Miracema,Pouco degradado
338,1715259.0,Novo Jardim,Taguatinga,Não possui degradação
339,1709005.0,Goiatins,Araguaina,Pouco degradado
340,1700707.0,Alvorada,Gurupi,Não possui degradação
341,1716703.0,Colméia,Colinas,Pouco degradado
342,1720978.0,Talismã,Gurupi,
343,1707702.0,Filadélfia,Araguaina,Pouco degradado
344,1705102.0,Chapada da Natividade,Porto,Pouco degradado
345,1705102.0,Chapada da Natividade,Porto,Degradação Média
346,1702158.0,Araguanã,Araguaina,Não possui degradação
347,1720978.0,Talismã,Gurupi,Não possui degradação
348,1717503.0,Pium,Paraiso,Não possui degradação
349,1720655.0,Silvanópolis,Porto,Pouco degradado
350,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
351,1705102.0,Chapada da Natividade,Porto,Degradação Média
352,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
353,1717503.0,Pium,Paraiso,Não possui degradação
354,1707009.0,Dianópolis,Taguatinga,Não possui degradação
355,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
356,1720978.0,Talismã,Gurupi,Não possui degradação
357,1713700.0,Monte Santo do Tocantins,Paraiso,Pouco degradado
358,1709302.0,Guaraí,Colinas,Não possui degradação
359,1720853.0,Sucupira,Gurupi,Não possui degradação
360,1718006.0,Porto Alegre do Tocantins,Taguatinga,Degradação Média
361,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado
362,1707108.0,Divinópolis do Tocantins,Paraiso,Não possui degradação
363,1709302.0,Guaraí,Colinas,Não possui degradação
364,1704600.0,Chapada de Areia,Paraiso,Degradação Média
365,1716208.0,Paranã,Taguatinga,Não possui degradação
366,1707009.0,Dianópolis,Taguatinga,Não possui degradação
367,1718758.0,Rio Sono,Miracema,Não possui degradação
368,1720978.0,Talismã,Gurupi,Não possui degradação
369,1716604.0,Peixe,Gurupi,Degradação Média
370,1707108.0,Divinópolis do Tocantins,Paraiso,
371,1716109.0,Paraíso do Tocantins,Paraiso,Degradação Média
372,1716208.0,Paranã,Taguatinga,Pouco degradado
373,1705102.0,Chapada da Natividade,Porto,Pouco degradado
374,1716208.0,Paranã,Taguatinga,Não possui degradação
375,1706100.0,Cristalândia,Paraiso,Não possui degradação
376,1716208.0,Paranã,Taguatinga,Pouco degradado
377,1720978.0,Talismã,Gurupi,Não possui degradação
378,1709302.0,Guaraí,Colinas,Não possui degradação
379,1718865.0,Santa Fé do Araguaia,Araguaina,Degradação Média
380,1713809.0,Palmeiras do Tocantins,Araguatins,Não possui degradação
381,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado
382,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado
383,1707108.0,Divinópolis do Tocantins,Paraiso,Não possui degradação
384,1709005.0,Goiatins,Araguaina,Pouco degradado
385,1706001.0,Couto Magalhães,Colinas,Não possui degradação
386,1715002.0,Nova Rosalândia,Paraiso,Degradação Média
387,1713304.0,Miranorte,Miracema,Não possui degradação
388,1713809.0,Palmeiras do Tocantins,Araguatins,Pouco degradado
389,1703107.0,Barrolândia,Paraiso,Pouco degradado
390,1709302.0,Guaraí,Colinas,Não possui degradação
391,1713205.0,Miracema do Tocantins,Paraiso,Não possui degradação
392,1707108.0,Divinópolis do Tocantins,Paraiso,Não possui degradação
393,1707652.0,Figueirópolis,Gurupi,Não possui degradação
394,1717503.0,Pium,Paraiso,Não possui degradação
395,1704600.0,Chapada de Areia,Paraiso,Degradação Média
396,1713205.0,Miracema do Tocantins,Paraiso,Pouco degradado
397,1709500.0,Gurupi,Gurupi,Degradação Média
398,1707702.0,Filadélfia,Araguaina,Não possui degradação
399,1720978.0,Talismã,Gurupi,Não possui degradação
400,1707306.0,Dueré,Gurupi,Não possui degradação
401,1707702.0,Filadélfia,Araguaina,Não possui degradação
402,1706100.0,Cristalândia,Paraiso,Não possui degradação
403,1709302.0,Guaraí,Colinas,Não possui degradação
404,1713304.0,Miranorte,Miracema,Não possui degradação
405,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
406,1716208.0,Paranã,Taguatinga,Não possui degradação
407,1712504.0,Marianópolis do Tocantins,Paraiso,Não possui degradação
408,1713205.0,Miracema do Tocantins,Paraiso,Degradação Média
409,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
410,1713304.0,Miranorte,Miracema,Não possui degradação
411,1716604.0,Peixe,Gurupi,Pouco degradado
412,1718758.0,Rio Sono,Miracema,Não possui degradação
413,1703909.0,Caseara,Paraiso,Não possui degradação
414,1716604.0,Peixe,Gurupi,Degradação Média
415,1716604.0,Peixe,Gurupi,Pouco degradado
416,1716604.0,Peixe,Gurupi,Pouco degradado
417,1706001.0,Couto Magalhães,Colinas,Pouco degradado
418,1713700.0,Monte Santo do Tocantins,Paraiso,Não possui degradação
419,1720978.0,Talismã,Gurupi,Não possui degradação
420,1716208.0,Paranã,Taguatinga,Não possui degradação
421,1716208.0,Paranã,Taguatinga,Pouco degradado
422,1707702.0,Filadélfia,Araguaina,Muito degradado
423,1700400.0,Almas,Taguatinga,Não possui degradação
424,1717503.0,Pium,Paraiso,Pouco degradado
425,1720804.0,Sítio Novo do Tocantins,Araguatins,Degradação Média
426,1709005.0,Goiatins,Araguaina,Pouco degradado
427,1706100.0,Cristalândia,Paraiso,Pouco degradado
428,1707009.0,Dianópolis,Taguatinga,Não possui degradação
429,1718899.0,Santa Rita do Tocantins,Gurupi,Pouco degradado
430,1707009.0,Dianópolis,Paraiso,Não possui degradação
431,1712504.0,Marianópolis do Tocantins,Paraiso,Não possui degradação
432,1715002.0,Nova Rosalândia,Paraiso,Degradação Média
433,1716604.0,Peixe,Gurupi,Pouco degradado
434,1712504.0,Marianópolis do Tocantins,Paraiso,Não possui degradação
435,1718758.0,Rio Sono,Miracema,Não possui degradação
436,1711506.0,Jaú do Tocantins,Gurupi,Pouco degradado
437,1716604.0,Peixe,Gurupi,Pouco degradado
438,1715002.0,Nova Rosalândia,Paraiso,Degradação Média
439,1712504.0,Marianópolis do Tocantins,Paraiso,Pouco degradado
440,1712454.0,Luzinópolis,Araguatins,Não possui degradação
441,1717503.0,Pium,Paraiso,Não possui degradação
442,1709500.0,Gurupi,Gurupi,Pouco degradado
443,1713809.0,Palmeiras do Tocantins,Araguatins,Não possui degradação
444,1718899.0,Santa Rita do Tocantins,Gurupi,Degradação Média
445,1716208.0,Paranã,Taguatinga,Pouco degradado
446,1707702.0,Filadélfia,Araguaina,Pouco degradado
447,1712504.0,Marianópolis do Tocantins,Paraiso,Não possui degradação
448,1712504.0,Marianópolis do Tocantins,Paraiso,Não possui degradação
449,1709500.0,Gurupi,Gurupi,Pouco degradado
450,1702000.0,Araguaçu,Gurupi,Degradação Média
451,1707702.0,Filadélfia,Araguaina,Pouco degradado
452,1720002.0,Santa Terezinha do Tocantins,Araguatins,Pouco degradado
453,1712504.0,Marianópolis do Tocantins,Paraiso,Degradação Média
454,1707702.0,Filadélfia,Araguaina,Degradação Média
455,1716208.0,Paranã,Taguatinga,Degradação Média
456,1707702.0,Filadélfia,Araguaina,Pouco degradado
457,1703909.0,Caseara,Paraiso,Não possui degradação
458,1701002.0,Ananás,Araguatins,Não possui degradação
459,1703909.0,Caseara,Paraiso,Não possui degradação
460,1707702.0,Filadélfia,Araguaina,Pouco degradado
461,1703909.0,Caseara,Paraiso,Não possui degradação
462,1717503.0,Pium,Paraiso,Não possui degradação
463,1711902.0,Lagoa da Confusão,Paraiso,Não possui degradação
464,1718758.0,Rio Sono,Miracema,Não possui degradação
465,1717503.0,Pium,Paraiso,Pouco degradado
466,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
467,1712504.0,Marianópolis do Tocantins,Paraiso,Degradação Média
468,1703107.0,Barrolândia,Paraiso,Não possui degradação
469,1718758.0,Rio Sono,Miracema,Não possui degradação
470,1713700.0,Monte Santo do Tocantins,Paraiso,Não possui degradação
471,1704600.0,Chapada de Areia,Paraiso,Degradação Média
472,1706100.0,Cristalândia,Paraiso,Pouco degradado
473,1700707.0,Alvorada,Gurupi,Não possui degradação
474,1715002.0,Nova Rosalândia,Paraiso,Degradação Média
475,1709500.0,Gurupi,Gurupi,Não possui degradação
476,1718758.0,Rio Sono,Miracema,Não possui degradação
477,1716208.0,Paranã,Taguatinga,Não possui degradação
478,1706100.0,Cristalândia,Paraiso,Degradação Média
479,1717503.0,Pium,Paraiso,Degradação Média
480,1707207.0,dois Irmãos do Tocantins,Paraiso,Degradação Média
481,1713304.0,Miranorte,Miracema,Não possui degradação
482,1705102.0,Chapada da Natividade,Porto,Degradação Média
483,1705102.0,Chapada da Natividade,Porto,Pouco degradado
484,1716208.0,Paranã,Taguatinga,Pouco degradado
485,1706100.0,Cristalândia,Paraiso,Não possui degradação
486,1718709.0,Rio dos Bois,Miracema,Pouco degradado
487,1716208.0,Paranã,Taguatinga,Pouco degradado
488,1716208.0,Paranã,Taguatinga,Não possui degradação
489,1707652.0,Figueirópolis,Gurupi,Não possui degradação
490,1715002.0,Nova Rosalândia,Paraiso,Degradação Média
491,1720655.0,Silvanópolis,Porto,Degradação Média
492,1709807.0,Ipueiras,Porto,Pouco degradado
