,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,degradacao_ord
364,1704600.0,Chapada de Areia,Paraiso,degradacao media,2.0
365,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
366,1707009.0,Dianópolis,Taguatinga,nao possui degradacao,0.0
367,1718758.0,Rio Sono,Miracema,nao possui degradacao,0.0
368,1720978.0,Talismã,Gurupi,nao possui degradacao,0.0
369,1716604.0,Peixe,Gurupi,degradacao media,2.0
370,1707108.0,Divinópolis do Tocantins,Paraiso,nan,
371,1716109.0,Paraíso do Tocantins,Paraiso,degradacao media,2.0
372,1716208.0,Paranã,Taguatinga,pouco degradado,1.0
373,1705102.0,Chapada da Natividade,Porto,pouco degradado,1.0
374,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
375,1706100.0,Cristalândia,Paraiso,nao possui degradacao,0.0
376,1716208.0,Paranã,Taguatinga,pouco degradado,1.0
377,1720978.0,Talismã,Gurupi,nao possui degradacao,0.0
378,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
379,1718865.0,Santa Fé do Araguaia,Araguaina,degradacao media,2.0
380,1713809.0,Palmeiras do Tocantins,Araguatins,nao possui degradacao,0.0
381,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,pouco degradado,1.0
382,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,pouco degradado,1.0
383,1707108.0,Divinópolis do Tocantins,Paraiso,nao possui degradacao,0.0
384,1709005.0,Goiatins,Araguaina,pouco degradado,1.0
385,1706001.0,Couto Magalhães,Colinas,nao possui degradacao,0.0
386,1715002.0,Nova Rosalândia,Paraiso,degradacao media,2.0
387,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
388,1713809.0,Palmeiras do Tocantins,Araguatins,pouco degradado,1.0
389,1703107.0,Barrolândia,Paraiso,pouco degradado,1.0
390,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
391,1713205.0,Miracema do Tocantins,Paraiso,nao possui degradacao,0.0
392,1707108.0,Divinópolis do Tocantins,Paraiso,nao possui degradacao,0.0
393,1707652.0,Figueirópolis,Gurupi,nao possui degradacao,0.0
394,1717503.0,Pium,Paraiso,nao possui degradacao,0.0
395,1704600.0,Chapada de Areia,Paraiso,degradacao media,2.0
396,1713205.0,Miracema do Tocantins,Paraiso,pouco degradado,1.0
397,1709500.0,Gurupi,Gurupi,degradacao media,2.0
398,1707702.0,Filadélfia,Araguaina,nao possui degradacao,0.0
399,1720978.0,Talismã,Gurupi,nao possui degradacao,0.0
400,1707306.0,Dueré,Gurupi,nao possui degradacao,0.0
401,1707702.0,Filadélfia,Araguaina,nao possui degradacao,0.0
402,1706100.0,Cristalândia,Paraiso,nao possui degradacao,0.0
403,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
404,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
405,1707108.0,Divinópolis do Tocantins,Paraiso,pouco degradado,1.0
406,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
407,1712504.0,Marianópolis do Tocantins,Paraiso,nao possui degradacao,0.0
408,1713205.0,Miracema do Tocantins,Paraiso,degradacao media,2.0
409,1707108.0,Divinópolis do Tocantins,Paraiso,pouco degradado,1.0
410,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
411,1716604.0,Peixe,Gurupi,pouco degradado,1.0
412,1718758.0,Rio Sono,Miracema,nao possui degradacao,0.0
413,1703909.0,Caseara,Paraiso,nao possui degradacao,0.0
414,1716604.0,Peixe,Gurupi,degradacao media,2.0
415,1716604.0,Peixe,Gurupi,pouco degradado,1.0
416,1716604.0,Peixe,Gurupi,pouco degradado,1.0
417,1706001.0,Couto Magalhães,Colinas,pouco degradado,1.0
418,1713700.0,Monte Santo do Tocantins,Paraiso,nao possui degradacao,0.0
419,1720978.0,Talismã,Gurupi,nao possui degradacao,0.0
420,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
421,1716208.0,Paranã,Taguatinga,pouco degradado,1.0
422,1707702.0,Filadélfia,Araguaina,muito degradado,3.0
423,1700400.0,Almas,Taguatinga,nao possui degradacao,0.0
424,1717503.0,Pium,Paraiso,pouco degradado,1.0
425,1720804.0,Sítio Novo do Tocantins,Araguatins,degradacao media,2.0
426,1709005.0,Goiatins,Araguaina,pouco degradado,1.0
427,1706100.0,Cristalândia,Paraiso,pouco degradado,1.0
428,1707009.0,Dianópolis,Taguatinga,nao possui degradacao,0.0
429,1718899.0,Santa Rita do Tocantins,Gurupi,pouco degradado,1.0
430,1707009.0,Dianópolis,Paraiso,nao possui degradacao,0.0
431,1712504.0,Marianópolis do Tocantins,Paraiso,nao possui degradacao,0.0
432,1715002.0,Nova Rosalândia,Paraiso,degradacao media,2.0
433,1716604.0,Peixe,Gurupi,pouco degradado,1.0
434,1712504.0,Marianópolis do Tocantins,Paraiso,nao possui degradacao,0.0
435,1718758.0,Rio Sono,Miracema,nao possui degradacao,0.0
436,1711506.0,Jaú do Tocantins,Gurupi,pouco degradado,1.0
437,1716604.0,Peixe,Gurupi,pouco degradado,1.0
438,1715002.0,Nova Rosalândia,Paraiso,degradacao media,2.0
