acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
Aposentadoria inss,Gurupi,1
Merenda escolar (penae),Araguaína,1
Bolsa família,Araguaína,1
Aposentadoria rural,Araguaína,1
Oportunidade,Araguaína,1
Compra direta (paa),Pedro Afonso,1
Bolsa família,Pedro Afonso,1
Aposentadoria rural,Fátima,1
Crédito rural,dois Irmãos do Tocantins,1
Bolsa família,dois Irmãos do Tocantins,1
Crédito rural,dois Irmãos do Tocantins,1
Aposentadoria rural,dois Irmãos do Tocantins,1
Compra direta (paa),Nova Olinda,1
Aposentadoria rural,Nova Olinda,1
Pensão por morte,Nova Olinda,1
Não,Nova Olinda,1
Compra direta (paa),Nova Olinda,1
Bolsa família,Nova Olinda,1
Não,Dianópolis,1
Crédito rural,Santa Fé do Araguaia,1
Bolsa família,Santa Fé do Araguaia,1
Compra direta (paa),Dianópolis,1
Merenda escolar (penae),Dianópolis,1
Bolsa família,Dianópolis,1
Crédito rural,dois Irmãos do Tocantins,1
Compra direta (paa),dois Irmãos do Tocantins,1
Merenda escolar (penae),dois Irmãos do Tocantins,1
Fomento,dois Irmãos do Tocantins,1
Bolsa família,dois Irmãos do Tocantins,1
Crédito rural,Rio Sono,1
Compra direta (paa),Rio Sono,1
Aposentadoria rural,Rio Sono,1
Compra direta (paa),Caseara,1
Aposentadoria rural,Caseara,1
Compra direta (paa),Gurupi,1
Merenda escolar (penae),Gurupi,1
Aposentadoria rural,Gurupi,1
Crédito rural,Figueirópolis,1
Compra direta (paa),Figueirópolis,1
Crédito rural,Paranã,1
Compra direta (paa),Paranã,1
Bolsa família,Paranã,1
Crédito rural,Itaguatins,1
Compra direta (paa),Fátima,1
Crédito rural,Fátima,1
Compra direta (paa),Palmeiras do Tocantins,1
Merenda escolar (penae),Palmeiras do Tocantins,1
Fomento,Palmeiras do Tocantins,1
Bolsa família,Palmeiras do Tocantins,1
Conab,Palmeiras do Tocantins,1
Crédito rural,Lagoa da Confusão,1
Merenda escolar (penae),Araguaína,1
Bolsa família,Araguaína,1
Bolsa família,Divinópolis do Tocantins,1
Compra direta (paa),Lajeado,1
Merenda escolar (penae),Lajeado,1
Aposentadoria rural,Lajeado,1
Compra direta (paa),Chapada de Areia,1
Aposentadoria rural,Chapada de Areia,1
Crédito rural,dois Irmãos do Tocantins,1
Compra direta (paa),dois Irmãos do Tocantins,1
Merenda escolar (penae),dois Irmãos do Tocantins,1
Bolsa família,Novo Acordo,1
Aposentadoria rural,Santa Fé do Araguaia,1
Crédito rural,Palmeiras do Tocantins,1
Compra direta (paa),Palmeiras do Tocantins,1
Merenda escolar (penae),Palmeiras do Tocantins,1
Aposentadoria rural,Palmeiras do Tocantins,1
Bolsa família,Cristalândia,1
Crédito rural,Muricilândia,1
Aposentadoria rural,Muricilândia,1
Crédito rural,Pedro Afonso,1
Crédito rural,Axixá do Tocantins,1
Compra direta (paa),Axixá do Tocantins,1
Aposentadoria rural,Axixá do Tocantins,1
Crédito rural,Miracema do Tocantins,1
Crédito rural,Itaguatins,1
Bolsa família,Itaguatins,1
Aposentadoria rural,Itaguatins,1
Não,Ananás,1
Compra direta (paa),Almas,1
Merenda escolar (penae),Almas,1
Auxilio doença,Almas,1
Bolsa família,Esperantina,1
Bolsa família,Talismã,1
Compra direta (paa),Araguatins,1
Merenda escolar (penae),Araguatins,1
Bolsa família,Araguatins,1
Não,Novo Jardim,1
Compra direta (paa),Crixás do Tocantins,1
