Unnamed: 0,municipio_original,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
116,LUZINÓPOLIS,Araguatins,,luzinopolis,17.0,1712454.0,Luzinópolis,luzinopolis,,,,,,1712454.0,17.0,Luzinópolis
117,PARANÃ-TO,Taguatinga,,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
118,FILADÉLFIA,Araguaina,,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
119,Cristalândia,Paraiso,,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
120,Pium,Paraiso,,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
121,Palmas,Porto,,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
122,Esperantina,Araguatins,,esperantina,17.0,1707405.0,Esperantina,esperantina,,,,,,1707405.0,17.0,Esperantina
123,Miranorte,Miracema,Não possui degradação,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
124,Gurupi-TO,Gurupi,,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
125,Ananás,Araguatins,,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
126,Miranorte,Miracema,,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
127,MONTE DO CARMO -TO.,Porto,,monte do carmo -to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
128,Almas,Taguatinga,,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
129,Gurupi,Gurupi,,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
130,MONTE DO CARMO-TO,Porto,,monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
131,Araguaína,Araguaina,,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
132,"P.A Tamboril, Angico - TO",Araguatins,,"p.a tamboril, angico - to",,,,,angico,1701051.0,17.0,Angico,angico,1701051.0,17.0,Angico
133,Pium,Paraiso,,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
134,Nova Olinda,Araguaina,,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
