area_da_propriedade__hectares__,atividade_produtiva,Record Count
20 - 50 ha,"Bovinocultura de Leite, Fruticultura",2
20 - 50 ha,"Avicultura, Pisicultura",2
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2
200 - 320 ha,"Bovinocultura de corte, Fruticultura",2
200 - 320 ha,"Mandiocultura, Extrativismo Vegetal",2
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",2
50 - 100 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Avicultura, Suinocultura, Olericultura",1
1 - 5 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura",1
5 - 10 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",1
10 - 20 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura",1
10 - 20 ha,"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Apicultura/meliponicultura, Mandiocultura",1
50 - 100 ha,"Bovinocultura de corte, Mandiocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Pisicultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Culturas Anuais",1
20 - 50 ha,"Avicultura, Mandiocultura, Culturas Anuais, Extrativismo Vegetal",1
1 - 5 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
1 - 5 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",1
1 - 5 ha,"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura",1
1 - 5 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",1
5 - 10 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura",1
50 - 100 ha,"Avicultura, Mandiocultura",1
5 - 10 ha,"Avicultura, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Pisicultura, Mandiocultura",1
1 - 5 ha,"Avicultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1
50 - 100 ha,"Bovinocultura de corte, Mandiocultura, Extrativismo Vegetal, Cupuaçu",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Culturas Anuais",1
1 - 5 ha,"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Apicultura/meliponicultura, Cana -de-açucar",1
200 - 320 ha,"Extrativismo Vegetal, PESCA",1
20 - 50 ha,Pisicultura,1
10 - 20 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura",1
Até 1 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",1
5 - 10 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Avicultura, Pisicultura, Olericultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura",1
50 - 100 ha,"Pisicultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",1
20 - 50 ha,"Bovinocultura de corte, Suinocultura",1
50 - 100 ha,"Bovinocultura de Leite, Fruticultura",1
100 - 200 ha,"Bovinocultura de corte, Fruticultura, Extrativismo Vegetal,",1
10 - 20 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",1
1 - 5 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Olericultura",1
10 - 20 ha,"Bovinocultura de corte, Avicultura, Pisicultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Pisicultura, Culturas Anuais",1
20 - 50 ha,"Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Mandiocultura, Fruticultura, Culturas Anuais",1
50 - 100 ha,"Avicultura, Suinocultura, Fruticultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura, Milho",1
100 - 200 ha,Mandiocultura,1
50 - 100 ha,"Avicultura, Fruticultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura",1
Até 1 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura",1
