area_da_propriedade__hectares__,regional_,uso_de_praticas_convencionais,Record Count
100 - 200 ha,Miracema,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",1
20 - 50 ha,Araguaina,"Roça de toco, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Miracema,"Roça de toco, Pastagem nativa",1
20 - 50 ha,Araguaina,"Aração e gradagem, Queimadas",1
20 - 50 ha,Colinas,"Plantio convencional, Aração e gradagem",1
5 - 10 ha,Gurupi,Pastagem nativa,1
20 - 50 ha,Araguaina,"Plantio convencional, Não usa",1
100 - 200 ha,Araguaina,"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
10 - 20 ha,Porto,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
Até 1 ha,Araguatins,"Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
Acima de 320 ha,Colinas,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
5 - 10 ha,Paraiso,Uso de agrotóxicos,1
20 - 50 ha,Araguaina,"Roça de toco, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
100 - 200 ha,Araguaina,"Plantio convencional, Queimadas, Pastagem nativa",1
5 - 10 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas",1
20 - 50 ha,Paraiso,"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa",1
1 - 5 ha,Gurupi,Aração e gradagem,1
5 - 10 ha,Gurupi,Monocultura,1
50 - 100 ha,Gurupi,"Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Araguaina,"Plantio convencional, Aração e gradagem, Monocultura",1
1 - 5 ha,Paraiso,"Plantio convencional, Pastagem nativa",1
100 - 200 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",1
50 - 100 ha,Taguatinga,Pastagem nativa,1
1 - 5 ha,Porto,"Aração e gradagem, Uso de agrotóxicos",1
50 - 100 ha,Paraiso,"Roça de toco, Plantio convencional, Pastagem nativa",1
50 - 100 ha,Taguatinga,"Roça de toco, Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
10 - 20 ha,Miracema,"Aração e gradagem, Pastagem nativa",1
1 - 5 ha,Paraiso,Monocultura,1
10 - 20 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
100 - 200 ha,Araguatins,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
100 - 200 ha,Paraiso,"Aração e gradagem, Uso de agrotóxicos",1
10 - 20 ha,Taguatinga,"Roça de toco, Aração e gradagem, Pastagem nativa",1
10 - 20 ha,Miracema,"Aração e gradagem, Não usa",1
50 - 100 ha,Miracema,Não usa,1
200 - 320 ha,Miracema,"Aração e gradagem, Não usa",1
20 - 50 ha,Paraiso,"Pastagem nativa, Não usa",1
100 - 200 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Gurupi,"Plantio convencional, Pastagem nativa",1
200 - 320 ha,Taguatinga,"Plantio convencional, Uso de agrotóxicos",1
100 - 200 ha,Paraiso,"Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Paraiso,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
50 - 100 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Gurupi,Não usa,1
50 - 100 ha,Taguatinga,"Roça de toco, Plantio convencional, Aração e gradagem",1
20 - 50 ha,Paraiso,Roça de toco,1
10 - 20 ha,Paraiso,"Plantio convencional, Pastagem nativa",1
50 - 100 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Miracema,"Aração e gradagem, Pastagem nativa, Monocultura",1
200 - 320 ha,Taguatinga,"Roça de toco, Pastagem nativa",1
50 - 100 ha,Porto,Aração e gradagem,1
100 - 200 ha,Miracema,Plantio convencional,1
50 - 100 ha,Porto,"Roça de toco, Uso de agrotóxicos",1
50 - 100 ha,Paraiso,"Plantio convencional, Pastagem nativa, Uso de agrotóxicos",1
1 - 5 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas",1
100 - 200 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem",1
20 - 50 ha,Miracema,Roça de toco,1
100 - 200 ha,Taguatinga,"Roça de toco, Aração e gradagem",1
10 - 20 ha,Araguatins,"Aração e gradagem, Queimadas",1
20 - 50 ha,Paraiso,"Roça de toco, Plantio convencional",1
10 - 20 ha,Taguatinga,"Roça de toco, Queimadas, Pastagem nativa",1
10 - 20 ha,Araguatins,"Plantio convencional, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
200 - 320 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Araguatins,"Roça de toco, Aração e gradagem, Queimadas",1
10 - 20 ha,Paraiso,"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
100 - 200 ha,Miracema,"Aração e gradagem, Uso de agrotóxicos",1
100 - 200 ha,Paraiso,"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Taguatinga,"Roça de toco, Plantio convencional, Queimadas, Pastagem nativa",1
10 - 20 ha,Paraiso,Não usa,1
20 - 50 ha,Porto,"Aração e gradagem, Queimadas, Pastagem nativa",1
5 - 10 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Gurupi,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
50 - 100 ha,Taguatinga,Não usa,1
1 - 5 ha,Araguaina,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Araguatins,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
1 - 5 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem",1
20 - 50 ha,Colinas,Não usa,1
10 - 20 ha,Gurupi,"Roça de toco, Plantio convencional, Aração e gradagem",1
20 - 50 ha,Miracema,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
5 - 10 ha,Miracema,"Aração e gradagem, Uso de agrotóxicos",1
50 - 100 ha,Taguatinga,"Aração e gradagem, Uso de agrotóxicos",1
Até 1 ha,Miracema,"Plantio convencional, Aração e gradagem",1
50 - 100 ha,Colinas,Não usa,1
50 - 100 ha,Colinas,Uso de agrotóxicos,1
5 - 10 ha,Araguatins,"Plantio convencional, Aração e gradagem",1
5 - 10 ha,Colinas,Plantio convencional,1
100 - 200 ha,Taguatinga,Aração e gradagem,1
20 - 50 ha,Gurupi,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
Acima de 320 ha,Colinas,"Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Gurupi,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",1
